,r_points,r_text,place,scores,compound,score
0,40,"Venetian column is located at the main square of North Nicosia, formerly main square (Sarayonu or Palace square, officialy named Ataturk square) of entire city, in front of the building of British Colonial Court. Although it is not so impressive, it should not be missed.",The Venetian Column,"{'neg': 0.07, 'neu': 0.891, 'pos': 0.039, 'compound': -0.3634}",-0.3634,neg
1,20,It's an old column! And not a great one at that. Staggering is not an adjective that immediately springs to mind for it. Not a lot to do in Nicosia North and it's pretty grimy with typical city hustle and bustle. We were on an organised tour and were dumped there for 6 hours…,The Venetian Column,"{'neg': 0.153, 'neu': 0.793, 'pos': 0.054, 'compound': -0.7083}",-0.7083,neg
4,30,This column stands in the old town area. It was brought there from the ruins of Salamis in Famagusta.,The Venetian Column,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.4404}",-0.4404,neg
7,30,Wandered onto this commercial section of Lefkosa looking for an Is Bankasi ATM. The column is interesting but not worth a grand exhibition to find it ...,The Venetian Column,"{'neg': 0.174, 'neu': 0.765, 'pos': 0.062, 'compound': -0.5218}",-0.5218,neg
12,30,Wandered onto this commercial section of Lefkosa looking for an Is Bankasi ATM. The column is interesting but not worth a grand exhibition to find it ...,The Venetian Column,"{'neg': 0.174, 'neu': 0.765, 'pos': 0.062, 'compound': -0.5218}",-0.5218,neg
18,20,The column marks the middle of Araturk Square which is an area not very well kept. The entire square is covered in petrified bird droppings and is filthy. Not a spot where you'd want to stay for long,The Venetian Column,"{'neg': 0.135, 'neu': 0.833, 'pos': 0.032, 'compound': -0.6406}",-0.6406,neg
20,20,Ataturk square is an eyesore. The column does not really help. With its dry and dirty basin around it does act rather as a pigeon loo and waste bin than as a sight.,The Venetian Column,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.8006}",-0.8006,neg
22,30,Again this is a nice photo if going past which is what we did but to hunt it out I wouldn't Its impressive in its own way,The Venetian Column,"{'neg': 0.125, 'neu': 0.808, 'pos': 0.067, 'compound': -0.3925}",-0.3925,neg
